"(455, 0.9156825859721862)","(282, 0.9152829618104964)","(222, 0.9124114517494395)","(564, 0.9120287188091674)","(317, 0.9092316524476718)","(458, 0.8942906696126038)","(271, 0.8931618836091247)","(479, 0.8906303265347066)","(682, 0.8899370221597831)","(684, 0.8888085212573924)"
"(286, 0.8135519573201487)","(432, 0.8100590755877788)","(337, 0.8063097173203115)","(324, 0.8026039921842618)","(489, 0.7984490813947095)","(54, 0.7934618702726882)","(427, 0.7931434819983569)","(267, 0.7923421983665724)","(502, 0.7892130836819224)","(644, 0.7866421160817623)"
"(663, 0.8178009590809964)","(53, 0.8123900914729905)","(308, 0.8062451634052895)","(721, 0.8004756122918592)","(676, 0.7963378847359853)","(113, 0.7939186948194126)","(44, 0.7928213073598944)","(325, 0.7922765491824919)","(580, 0.7883040545684132)","(715, 0.786942804981857)"
"(715, 0.9103519914467145)","(602, 0.9090682426577061)","(88, 0.8976085128035995)","(61, 0.8947930488506143)","(36, 0.8928488676284716)","(288, 0.8919119074768963)","(621, 0.8911785978414721)","(224, 0.8897144688667213)","(455, 0.8886628900272673)","(438, 0.887999851613553)"
"(286, 0.8686779791012199)","(267, 0.8679902825829697)","(602, 0.8639223096094649)","(288, 0.8605852710075615)","(539, 0.8595990678180315)","(337, 0.8585714830333524)","(350, 0.8502093887640739)","(489, 0.8492271488814092)","(582, 0.8479510750324405)","(580, 0.8465457282559714)"
"(594, 0.8985743496912892)","(663, 0.8931546713084726)","(293, 0.8923390998032388)","(226, 0.8891925773366928)","(44, 0.8877491590943912)","(325, 0.8866254570740733)","(317, 0.8754727372763048)","(264, 0.8738351807764189)","(650, 0.8707366624139556)","(721, 0.8706189744460993)"
"(458, 0.8778463846624348)","(28, 0.8747721647088779)","(503, 0.8723408729442967)","(286, 0.8705530063898358)","(54, 0.8695142678765572)","(288, 0.8649235001214524)","(337, 0.8622238080849877)","(662, 0.8619333649321668)","(413, 0.8609700378124212)","(178, 0.860676466183921)"
"(599, 0.8349491098520994)","(2, 0.8173151369516718)","(487, 0.8151045214362813)","(458, 0.8148538014960323)","(334, 0.811970274784132)","(503, 0.8106602585462511)","(676, 0.809940203850488)","(598, 0.8093111327126634)","(286, 0.7973336300366999)","(342, 0.7959139340491603)"
"(67, 0.8091442845036407)","(200, 0.793120743223223)","(663, 0.7795690818063127)","(293, 0.7695400220820137)","(514, 0.7673349857881825)","(44, 0.7550713955810396)","(594, 0.7546184324751821)","(414, 0.7503752891446038)","(350, 0.7472003888973733)","(448, 0.7438319155053059)"
"(377, 0.73336115191301)","(138, 0.7320189855616199)","(663, 0.7241861554384765)","(602, 0.7235355452764687)","(408, 0.7213045913097578)","(650, 0.7160486444132111)","(423, 0.7111212442959851)","(44, 0.7094414017160985)","(482, 0.7087749191514473)","(589, 0.7049846092941024)"
"(242, 0.8310222720020704)","(430, 0.8238532384476671)","(288, 0.8184106053540801)","(616, 0.8152482603842548)","(70, 0.8145394182132915)","(88, 0.8106949000005417)","(215, 0.8100622527712525)","(169, 0.8100386994849812)","(684, 0.8090207620198323)","(458, 0.808612583901375)"
